id,geoid,pop2010,stateUSPS
0,6001.0,1510271.0,CA
1,6003.0,1175.0,CA
2,6005.0,38091.0,CA
3,6007.0,220000.0,CA
4,6009.0,45578.0,CA
5,6011.0,21419.0,CA
6,6013.0,1049025.0,CA
7,6015.0,28610.0,CA
8,6017.0,181058.0,CA
9,6019.0,930450.0,CA
10,6021.0,28122.0,CA
11,6023.0,134623.0,CA
12,6025.0,174528.0,CA
13,6027.0,18546.0,CA
14,6029.0,839631.0,CA
15,6031.0,152982.0,CA
16,6033.0,64665.0,CA
17,6035.0,34895.0,CA
18,6037.0,9818605.0,CA
19,6039.0,150865.0,CA
20,6041.0,252409.0,CA
21,6043.0,18251.0,CA
22,6045.0,87841.0,CA
23,6047.0,255793.0,CA
24,6049.0,9686.0,CA
25,6051.0,14202.0,CA
26,6053.0,415057.0,CA
27,6055.0,136484.0,CA
28,6057.0,98764.0,CA
29,6059.0,3010232.0,CA
30,6061.0,348432.0,CA
31,6063.0,20007.0,CA
32,6065.0,2189641.0,CA
33,6067.0,1418788.0,CA
34,6069.0,55269.0,CA
35,6071.0,2035210.0,CA
36,6073.0,3095313.0,CA
37,6075.0,805235.0,CA
38,6077.0,685306.0,CA
39,6079.0,269637.0,CA
40,6081.0,718451.0,CA
41,6083.0,423895.0,CA
42,6085.0,1781642.0,CA
43,6087.0,262382.0,CA
44,6089.0,177223.0,CA
45,6091.0,3240.0,CA
46,6093.0,44900.0,CA
47,6095.0,413344.0,CA
48,6097.0,483878.0,CA
49,6099.0,514453.0,CA
50,6101.0,94737.0,CA
51,6103.0,63463.0,CA
52,6105.0,13786.0,CA
53,6107.0,442179.0,CA
54,6109.0,55365.0,CA
55,6111.0,823318.0,CA
56,6113.0,200849.0,CA
57,6115.0,72155.0,CA
58,41001.0,16134.0,OR
59,41003.0,85579.0,OR
60,41005.0,375992.0,OR
61,41007.0,37039.0,OR
62,41009.0,49351.0,OR
63,41011.0,63043.0,OR
64,41013.0,20978.0,OR
65,41015.0,22364.0,OR
66,41017.0,157733.0,OR
67,41019.0,107667.0,OR
68,41021.0,1871.0,OR
69,41023.0,7445.0,OR
70,41025.0,7422.0,OR
71,41027.0,22346.0,OR
72,41029.0,203206.0,OR
73,41031.0,21720.0,OR
74,41033.0,82713.0,OR
75,41035.0,66380.0,OR
76,41037.0,7895.0,OR
77,41039.0,351715.0,OR
78,41041.0,46034.0,OR
79,41043.0,116672.0,OR
80,41045.0,31313.0,OR
81,41047.0,315335.0,OR
82,41049.0,11173.0,OR
83,41051.0,735334.0,OR
84,41053.0,75403.0,OR
85,41055.0,1765.0,OR
86,41057.0,25250.0,OR
87,41059.0,75889.0,OR
88,41061.0,25748.0,OR
89,41063.0,7008.0,OR
90,41065.0,25213.0,OR
91,41067.0,529710.0,OR
92,41069.0,1441.0,OR
93,41071.0,99193.0,OR
94,53001.0,18728.0,WA
95,53003.0,21623.0,WA
96,53005.0,175177.0,WA
97,53007.0,72453.0,WA
98,53009.0,71404.0,WA
99,53011.0,425363.0,WA
100,53013.0,4078.0,WA
101,53015.0,102410.0,WA
102,53017.0,38431.0,WA
103,53019.0,7551.0,WA
104,53021.0,78163.0,WA
105,53023.0,2266.0,WA
106,53025.0,89120.0,WA
107,53027.0,72797.0,WA
108,53029.0,78506.0,WA
109,53031.0,29872.0,WA
110,53033.0,1931249.0,WA
111,53035.0,251133.0,WA
112,53037.0,40915.0,WA
113,53039.0,20318.0,WA
114,53041.0,75455.0,WA
115,53043.0,10570.0,WA
116,53045.0,60699.0,WA
117,53047.0,41120.0,WA
118,53049.0,20920.0,WA
119,53051.0,13001.0,WA
120,53053.0,795225.0,WA
121,53055.0,15769.0,WA
122,53057.0,116901.0,WA
123,53059.0,11066.0,WA
124,53061.0,713335.0,WA
125,53063.0,471221.0,WA
126,53065.0,43531.0,WA
127,53067.0,252264.0,WA
128,53069.0,3978.0,WA
129,53071.0,58781.0,WA
130,53073.0,201140.0,WA
131,53075.0,44776.0,WA
132,53077.0,243231.0,WA
